"File","Path","Size","Modified Time","Access Time","Created Time","SHA512","Owner","Group","Mode"
"HW.docx","C:\\Python-Forensics\\p-fish\\Test_Directory\HW.docx","49482","Mon Oct  2 21:43:00 2017","Thu Aug  9 17:04:34 2018","Thu Aug  9 17:04:34 2018","8D3F877B8D304A1DD300F2563F50BCD597874BBE6521BC61A0CF64DA370F871FB74808B6F4D7E332987E370C8F4213696EA63AD2E62909A0D5EAB3F811A6D312","0","0","33206"
"Notes.txt","C:\\Python-Forensics\\p-fish\\Test_Directory\Notes.txt","684","Thu Sep 28 12:28:30 2017","Thu Aug  9 17:04:34 2018","Thu Aug  9 17:04:34 2018","216E7555B77723523644F44CE54974B3C5B58455E9B644CC4B8903F6FB56C68606496731FE2AF77A92969E55A32D0C6326746945564C6FA3FE2E48B90F4DA5DC","0","0","33206"
"RandomTxtFile.txt","C:\\Python-Forensics\\p-fish\\Test_Directory\RandomTxtFile.txt","1012","Wed Nov 15 15:47:45 2017","Thu Aug  9 17:04:34 2018","Thu Aug  9 17:04:34 2018","6340160C566B18DE16035E1AE0087E88ED6AFF466E75F56CBB4AE913AE520B7DE8C334C43B1CC9A332C955D0CA6F0A8B61EFDD355DC6CE5CEECED491933C39AF","0","0","33206"
"favicon.ico","C:\\Python-Forensics\\p-fish\\Test_Directory\www\favicon.ico","1150","Tue Jan 29 14:18:30 2013","Thu Aug  9 17:05:08 2018","Thu Aug  9 17:05:08 2018","914E645812D3E11C60CB880BAA88F5A787ACDBCC30A0B15B749ACFDC3940BAD65CD1E4B15B914E86BE21B605E63B5C6A80AC42159A1E9C711CF99481422F3277","0","0","33206"
".gitignore","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.gitignore","227","Thu Apr 26 13:49:10 2018","Thu Aug  9 17:05:08 2018","Thu Aug  9 17:05:08 2018","60BFC1E2D529AC8665259FA4C8E48E806DD0D84BF901AA645CF2CDBB98AF7BBCA7B18624C9A0B4B9ABF5001F10A4DD20998FBAB9F6596E48BCD959ED4C153B35","0","0","33206"
"index.html","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\index.html","226","Thu Apr 26 13:49:13 2018","Thu Aug  9 17:05:08 2018","Thu Aug  9 17:05:08 2018","DD5D04EB664567567323933D24B556F862AEB24D77B36032F52B23024CEC78C4D5F0F27E400082273BFA2283066A21A32E3FB3B3E8430546E0794839B4A02057","0","0","33206"
"README.md","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\README.md","181","Thu Apr 26 13:49:10 2018","Thu Aug  9 17:05:08 2018","Thu Aug  9 17:05:08 2018","831B5C7D7E19B6EE24B9546F28EA3C22C88308D713AEF5C9255E1B98BD0A36626FBB3524139EB735888BEE2DCE006AB7588BC61C38C9B8A47DD10C0863A9BC1B","0","0","33206"
"config","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\config","299","Thu Apr 26 13:49:10 2018","Thu Aug  9 17:05:08 2018","Thu Aug  9 17:05:08 2018","B6ED03F6175A85A5FAA1E16DE7AFBF78D3CE0B29597AA5A636D92974A27BE0C3C7E408AAFD35495D6EF38B034283457210B876EF4C92F2C845C5F5C6FCDD8586","0","0","33206"
"description","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\description","73","Thu Apr 26 13:48:43 2018","Thu Aug  9 17:05:08 2018","Thu Aug  9 17:05:08 2018","F7E152F75B124C3E1C5D12F00427729D9EEC4E2C1BF70D7606440A6600D003367EB178331E75AB976A61496E79C2C822020849D28FFD170946397B934611B471","0","0","33206"
"HEAD","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\HEAD","23","Thu Apr 26 13:49:10 2018","Thu Aug  9 17:05:08 2018","Thu Aug  9 17:05:08 2018","76B199F1BFFDC6D21547895431B0F85F3857DF400225CBD1AE55E7DED09786A8A44E1CB21F1FEFF4951CF57C893043A0BE696DCB0E4F5758A4D6081A833EB6CF","0","0","33206"
"index","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\index","277660","Thu Apr 26 13:49:13 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","49D1358C5901469E61AB2757F4F0E63E956B7335C95A491D1BDB40B8E8F1D4423CE9AF5DA07C0B1742B99E7E91AA98A12169B1FAB386E861AD66ACD7F9CC09F3","0","0","33206"
"packed-refs","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\packed-refs","3116","Thu Apr 26 13:49:10 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","1E380B706C7B1080F5779C0F0E328E64D04F2803D539AB7E9949EF9E8626F1218A0F29F54CC8B3F65695687BF1D7596FF560E21D67EA383D00B04E3C33BCC868","0","0","33206"
"applypatch-msg.sample","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\hooks\applypatch-msg.sample","478","Thu Apr 26 13:48:43 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","536CCE804D84E25813993EFDD240537B52D00CE9CDCECF1982F85096D56A521290104C825C00B370B2752201952A9616A3F4E28C5D27A5B4E4842101A2FF9BEE","0","0","33206"
"commit-msg.sample","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\hooks\commit-msg.sample","896","Thu Apr 26 13:48:43 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","D6BB7FA747F4625ADF1877F546565CBE812CA7DD4168F7E9068E6732555D8737EBA549546CF5946649E3F38DE82D173AAF9C160A4C9F9445655258B4C5F955EB","0","0","33206"
"fsmonitor-watchman.sample","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\hooks\fsmonitor-watchman.sample","3327","Thu Apr 26 13:48:43 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","4F611B6FC08DB7552A0EACA432C41D1114CD4DAA066D9FC722F34F6DE05EC3EED615286E8CFC5A27DF0CBFB90887473BEB0F859BA3EDBCD1E829BB3B5050D2A9","0","0","33206"
"post-update.sample","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\hooks\post-update.sample","189","Thu Apr 26 13:48:43 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","473AD124642571656276BF83B9FF63AB1804D3C23A5BDAE52391C6F70A894849AC60C10C9D31DEFF3938922CE83B68B1E60C11592BBF7EA503F4ACD39968CEFA","0","0","33206"
"pre-applypatch.sample","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\hooks\pre-applypatch.sample","424","Thu Apr 26 13:48:43 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","CB78AA7E9B9C146E5DB65D86DD83F04E2B6942A06FAB50C704A0FD900683F3B6AD1164E74AFE2F267F6DA91CDFF0B9AB07713E12CEFC6F8D741B5DF194F4FDA6","0","0","33206"
"pre-commit.sample","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\hooks\pre-commit.sample","1642","Thu Apr 26 13:48:43 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","4A7AC2ED2FFE50D2A997C3477B5855C3D19423C295A82F7D660BE3418217A183B0CE25F94AE2E350F4D93EDA3B75A4BD62CF27F0685D8A837919BCC9E7E0962A","0","0","33206"
"pre-push.sample","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\hooks\pre-push.sample","1348","Thu Apr 26 13:48:43 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","37CD20A090494ACB16C2255FE93DADEB409F2553AFDDC409DAD5B5E99C9F5612A28EBA397C0F3AE771E17EDBE0A6C2A3AF311154285E6D9C43E4CC4F06BA5B8D","0","0","33206"
"pre-rebase.sample","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\hooks\pre-rebase.sample","4898","Thu Apr 26 13:48:43 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","00D21D5D72386C3D9B5A1C36BA85201F730556A8295D4353AF54AF7892AB81010D42AFF209EC1FDA61C54E4DDA3737CEA5FDA64F09D40CE5004AE28239565025","0","0","33206"
"pre-receive.sample","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\hooks\pre-receive.sample","544","Thu Apr 26 13:48:43 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","EE08C11FAB7E896B2E09C241954BA7640338B12C75CD8040DAF053C31B2F22236D7A0DEAC736F89D305236312FDB4F560A38D4D8DEBDCC9DCDD23B2D975907D5","0","0","33206"
"prepare-commit-msg.sample","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\hooks\prepare-commit-msg.sample","1492","Thu Apr 26 13:48:43 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","50EC8A0DD98427E80A82A8D8CE44462A845876E1594C9D0E89483CE9A8AAAD616EDEA0E5C45C1BB69D8FE7F520C6F2260D6FA350D77B400899C3AE375E965BFB","0","0","33206"
"update.sample","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\hooks\update.sample","3610","Thu Apr 26 13:48:43 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","759ABD33E5D1DDA9B3E3D3116C47B23F616320D70CD66D567B1C4EEEFEB6D78571D83B67D825D9E23AAC35F0A2E0745CFAB1381ECF486E30076B08797699F2C4","0","0","33206"
"exclude","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\info\exclude","240","Thu Apr 26 13:48:43 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","9828C6ECDF91BF117416E17F4EE9CAEE2E1E37B6FB00B9FF04035ACE17A3089B9D0A25C6BAA1046C0E1C62D3DA88838E8FCA74EA82973D6B975905FDE58F3072","0","0","33206"
"HEAD","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\logs\HEAD","186","Thu Apr 26 13:49:10 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","7B5A81630164B6E810999B4A5AA5C1B116FFF2EE98F92977930ED7EC6FC5CDC6A0271B35DA6E75AD251A6E46A2D6762A810A7D1E9BA0FB585AE2885D16B4D474","0","0","33206"
"master","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\logs\refs\heads\master","186","Thu Apr 26 13:49:10 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","7B5A81630164B6E810999B4A5AA5C1B116FFF2EE98F92977930ED7EC6FC5CDC6A0271B35DA6E75AD251A6E46A2D6762A810A7D1E9BA0FB585AE2885D16B4D474","0","0","33206"
"HEAD","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\logs\refs\remotes\origin\HEAD","186","Thu Apr 26 13:49:10 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","7B5A81630164B6E810999B4A5AA5C1B116FFF2EE98F92977930ED7EC6FC5CDC6A0271B35DA6E75AD251A6E46A2D6762A810A7D1E9BA0FB585AE2885D16B4D474","0","0","33206"
"pack-c270c7b6c8dc958716e53ead6593430a73c08eba.idx","C:\\Python-Forensics\\p-fish\\Test_Directory\www\amsst\.git\objects\pack\pack-c270c7b6c8dc958716e53ead6593430a73c08eba.idx","131300","Thu Apr 26 13:49:10 2018","Thu Aug  9 17:05:09 2018","Thu Aug  9 17:05:09 2018","9E5FD2A34F2D5EB03543C576F91AA506BB6F0EB6947466D157838A2381DFFF89C7E94CFA89729BA2308B8562C4C26AE7E2012FB878A295A2C9CA1F4DDD797B53","0","0","33060"
